Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label
ACC,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,39,40,25.723075,45.82009375,20.09701875,0.000841177407239029,0.0117764837013464,***,P=8.41e-04,FDR=0.0118
ACC,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,39,40,8.36548,11.27619,2.91071,0.00481480942493943,0.033703665974576,**,P=0.00481,FDR=0.0337
ACC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ACC/ACC_TIDE_score_long.csv,EXCLUSION,39,40,0.744215327579744,0.798608360210599,0.054393032630855,0.0169535318126705,0.0791164817924624,*,P=0.017,FDR=0.0791
ACC,CAFs_EPIC,CAFs,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),CAFS,39,40,0.0079450775336727,0.0102471859211012,0.00230210838742849,0.0604068889051667,0.211424111168083,ns,P=0.0604,FDR=0.211
ACC,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,39,40,0.0879645939034571,0.0656546006294276,-0.0223099932740296,0.0888852655713101,0.248878743599668,ns,P=0.0889,FDR=0.249
ACC,Endothelial_cells_xCell,Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),ENDOTHELIALCELLS,39,40,0,0,0,0.27507139498775,0.641833254971417,ns,P=0.275,FDR=0.642
ACC,HALLMARK_HYPOXIA,Hypoxia,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),HYPOXIA,39,40,0.337602168003623,0.338264215611852,0.000662047608228744,0.329224170598191,0.658448341196381,ns,P=0.329,FDR=0.658
ACC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ACC/ACC_TIDE_score_long.csv,CAF,39,40,0.0782312384547418,0.0800355111358811,0.00180427268113931,0.424189960137629,0.720083838120083,ns,P=0.424,FDR=0.72
ACC,Fibroblasts_xCell,Fibroblasts,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,39,40,3.40681266074198e-22,1.94504650925439e-22,-1.4617661514876e-22,0.478293161285748,0.720083838120083,ns,P=0.478,FDR=0.72
ACC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,39,40,0.127415299504246,0.151367337256806,0.0239520377525605,0.514345598657202,0.720083838120083,ns,P=0.514,FDR=0.72
ACC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,39,40,0.388403813543365,0.412510036211939,0.0241062226685746,0.757410595240049,0.891918361070987,ns,P=0.757,FDR=0.892
ACC,ly_Endothelial_cells_xCell,Ly Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),LYENDOTHELIALCELLS,39,40,1.27178233137166e-24,0,-1.27178233137166e-24,0.76450145234656,0.891918361070987,ns,P=0.765,FDR=0.892
ACC,HALLMARK_ANGIOGENESIS,Angiogenesis,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),ANGIOGENESIS,39,40,0.328075900563709,0.32573560741043,-0.00234029315327905,0.964803864014453,0.987611378921674,ns,P=0.965,FDR=0.988
ACC,mv_Endothelial_cells_xCell,Mv Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),MVENDOTHELIALCELLS,39,40,1.80511268094916e-23,0,-1.80511268094916e-23,0.987611378921674,0.987611378921674,ns,P=0.988,FDR=0.988
BLCA,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,212,219,0.0558728211697923,0.0408759813804576,-0.0149968397893347,1.21577682095002e-07,1.70208754933003e-06,****,P=1.22e-07,FDR=1.70e-06
BLCA,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BLCA/BLCA_TIDE_score_long.csv,EXCLUSION,203,203,0.460862003971505,0.522891216989749,0.062029213018244,0.019171447466094,0.134200132262658,*,P=0.0192,FDR=0.134
BLCA,HALLMARK_ANGIOGENESIS,Angiogenesis,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),ANGIOGENESIS,212,219,0.166126676740336,0.139502831549558,-0.0266238451907776,0.0453467080494617,0.211617970897488,*,P=0.0453,FDR=0.212
BLCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,212,219,0.250662264234005,0.210793779620123,-0.039868484613882,0.0959221762167222,0.335727616758528,ns,P=0.0959,FDR=0.336
BLCA,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,212,219,0.350846551216527,0.364672762915886,0.0138262116993594,0.120656914605958,0.337839360896684,ns,P=0.121,FDR=0.338
